Unnamed: 0,Name,Price,Rating,Benefits,Location,HotelID
0,Cozrum Homes - Sonata Residence,453197.0,7.6,"Bữa sáng, Phòng tập miễn phí",Đà Nẵng,1
1,Victory Hotel Saigon,764878.0,7.7,"Bữa sáng, Bãi đậu xe, Nhận phòng nhanh",Đà Nẵng,2
2,Happy Life Grand Hotel & Sky Bar,1090245.0,8.4,"Bữa sáng, Phòng tập miễn phí",Đà Nẵng,3
3,Cityhouse - Ariosa,1068847.0,8.9,"Bữa sáng, Nước uống chào đón, Trả phòng muộn",Đà Nẵng,4
4,Cochin Zen Hotel,915091.0,8.6,"Bữa sáng, Nhận phòng nhanh, Wifi miễn phí",Đà Nẵng,5
5,Akoya Saigon Central Hotel,943423.0,8.9,"Bữa sáng, Phòng tập miễn phí",Đà Nẵng,6
6,Khach san Muong Thanh Luxury Saigon Hotel,1690148.0,8.6,"Bữa sáng, Phòng tập miễn phí",Đà Nẵng,7
7,Nesta Hotel Saigon,1412382.0,8.3,"Bữa sáng, Nước uống chào đón, Nhận phòng nhanh",Đà Nẵng,8
8,Ramana Saigon Hotel,1023154.0,8.0,"Bữa sáng, Wifi miễn phí",Đà Nẵng,9
9,Golden Star Hotel - 60 Le Thanh Ton,604529.0,7.1,"Nước uống chào đón, Bãi đậu xe, Nhận phòng nhanh",Đà Nẵng,10
10,Bong Sen Hotel Saigon,860488.0,7.8,"Bữa sáng, Wifi miễn phí",Đà Nẵng,11
11,Valentine Luxury hotel - 31 Bui Vien Street,176365.0,7.8,"Bữa sáng, Vegetarian Bữa sáng",Đà Nẵng,12
12,Yoko Airport Saigon Hotel,435358.0,7.9,"Bữa sáng, Wifi miễn phí",Đà Nẵng,13
13,Liberty Hotel Saigon Parkview,1295503.0,7.8,"Bữa sáng, Nước uống chào đón, Bãi đậu xe",Đà Nẵng,14
14,ROSA ZEN Hotel Spa,483667.0,8.3,"Bãi đậu xe, Nhận phòng nhanh, Wifi miễn phí",Đà Nẵng,15
15,Riverside Hotel Saigon,760685.0,7.7,"Bữa sáng, Nhận phòng nhanh, Wifi miễn phí",Đà Nẵng,16
16,22Land Hotel Saigon,1487419.0,9.2,"Bữa sáng, Bãi đậu xe, Wifi miễn phí",Đà Nẵng,17
17,Saigon Hotel,1410625.0,8.4,"Bữa sáng, Wifi miễn phí, Phòng tập miễn phí",Đà Nẵng,18
18,M Village Lý Tự Trọng,1031372.0,9.0,"Nhận phòng nhanh, Wifi miễn phí",Đà Nẵng,19
19,Sky Gem Central Hotel,11410.0,8.3,"Bữa sáng, Nhận phòng nhanh, Wifi miễn phí",Đà Nẵng,20
20,"Vinpearl Landmark 81, Autograph Collection",46000.0,9.0,"Bữa sáng, Afternoon tea, Bãi đậu xe",Đà Nẵng,21
21,BOBHOTEL - BÙI VIỆN,233081.0,5.7,"Nước uống chào đón, Wifi miễn phí",Đà Nẵng,22
22,ZAZZ URBAN HO CHI MINH HOTEL,1354289.0,8.6,"Bữa sáng, Phòng tập miễn phí",Đà Nẵng,23
23,Liberty Central Saigon Riverside Hotel,1843743.0,8.6,"Bữa sáng, Phòng tập miễn phí",Đà Nẵng,24
24,Eden Star Saigon Hotel,1536882.0,8.4,"Bữa sáng, Free mini bar, Vào hồ bơi miễn phí",Đà Nẵng,25
25,The Myst Dong Khoi,2626741.0,8.9,"Bữa sáng, Wifi miễn phí",Đà Nẵng,26
26,Dong Kinh Hotel,314253.0,8.2,"Nước uống chào đón, Nhận phòng nhanh, Wifi miễn phí",Đà Nẵng,27
27,The Concept Hotel HCMC- District 1,956667.0,8.7,"Bãi đậu xe, Nhận phòng nhanh, Wifi miễn phí",Đà Nẵng,28
28,Erato Boutique Hotel,395547.0,7.5,"Bữa sáng, Phòng tập miễn phí",Đà Nẵng,29
29,Grandma Lu Saigon Hawaii - Pham Ngu Lao Street,102867.0,8.1,"Bữa sáng, Phòng tập miễn phí",Đà Nẵng,30
30,Silverland Sil Hotel,1057099.0,8.2,"Nhận phòng nhanh, Wifi miễn phí",Đà Nẵng,31
31,Fusion Suites Saigon,1990727.0,8.9,"Nhận phòng nhanh, Wifi miễn phí",Đà Nẵng,32
32,CityHouse - City Oasis,891915.0,8.2,"Bãi đậu xe, Wifi miễn phí",Đà Nẵng,33
33,VyDa Backpacker Hostel,104861.0,8.7,"Bãi đậu xe, Wifi miễn phí, Nhận phòng sớm",Đà Nẵng,34
34,Cozrum Lux Hotel,580346.0,7.8,"Phòng tập miễn phí, Nước uống chào đón",Đà Nẵng,35
35,The One Premium Hotel,440519.0,6.9,"Nhận phòng nhanh, Wifi miễn phí",Đà Nẵng,36
36,Minh Tam Hotel & Spa 3/2,761905.0,8.0,"Bữa sáng, Nước uống chào đón, Bãi đậu xe, Wifi miễn phí",Đà Nẵng,37
37,Lancaster Saigon Serviced Apartments Le Thanh Ton,1165545.0,8.1,"Bữa sáng, Phòng tập miễn phí",Đà Nẵng,38
38,Leaf Signature Hotel - La Group,808857.0,8.5,"Bữa sáng, Bãi đậu xe, Nhận phòng nhanh",Đà Nẵng,39
39,Minh Tam Hotel and Spa,430222.0,7.6,"Bãi đậu xe, Nhận phòng nhanh, Wifi miễn phí",Đà Nẵng,40
40,The Lumiere,341358.0,7.9,"Bữa sáng, Nước uống chào đón, Free mini bar",Đà Nẵng,41
41,The Hammock Hotel Fine Arts Museum,1069036.0,9.1,"Bữa sáng, Bãi đậu xe, Nhận phòng nhanh",Đà Nẵng,42
42,HOTEL le JARDIN SECRET saigon,1409672.0,8.6,"Bữa sáng, Phòng tập miễn phí",Đà Nẵng,43
43,THANH TAI HOTEL 1,311236.0,8.6,Wifi miễn phí,Đà Nẵng,44
44,Adora Art Hotel,1288342.0,8.5,"Bữa sáng, Wifi miễn phí",Đà Nẵng,45
45,Mecozy Apartel,783248.0,8.5,Wifi miễn phí,Đà Nẵng,46
46,DAI NAM BOUTIQUE HOTEL,12119.0,8.3,"Nước uống chào đón, Bãi đậu xe, Nhận phòng nhanh",Đà Nẵng,47
47,Cozrum Homes Ly Chinh Thang,420683.0,7.9,"Bãi đậu xe, Nhận phòng nhanh, Wifi miễn phí",Đà Nẵng,48
48,Saigon Charm Hotel,288889.0,6.1,"Bãi đậu xe, Nhận phòng nhanh, Wifi miễn phí",Đà Nẵng,49
49,Ngoi Sao Phuong Nam Hotel,25738.0,8.6,Wifi miễn phí,Đà Nẵng,50
50,Planet Saigon Hotel,416109.0,8.7,"Bữa sáng, Phòng tập miễn phí",Đà Nẵng,51
51,Sunflowers Hotel Airport,386255.0,7.4,"Bãi đậu xe, Wifi miễn phí",Đà Nẵng,52
52,Lotte Hotel Saigon,268751.0,8.9,"Bữa sáng, Phòng tập miễn phí",Đà Nẵng,53
53,HANZ Boutique Hotel,189037.0,7.3,"Wifi miễn phí, Nước uống chào đón",Đà Nẵng,54
54,Au Lac Legend Hotel,1321466.0,8.8,"Bữa sáng, Phòng tập miễn phí",Đà Nẵng,55
55,SAZI HOTEL - BUI THI XUAN,984856.0,7.8,"Bữa sáng, Wifi miễn phí, Bao gồm bữa tối",Đà Nẵng,56
56,Hilton Saigon,41000.0,9.1,Wifi miễn phí,Đà Nẵng,57
57,123 Apartment in Vinhomes Central Park - Landmark 81,1055556.0,8.3,"Nhận phòng nhanh, Wifi miễn phí",Đà Nẵng,58
58,M Village Hoàng Văn Thụ,6908.0,9.3,"Phòng tập miễn phí, Nước uống chào đón",Đà Nẵng,59
59,Hue My Hotel Saigon,932807.0,8.1,"Bữa sáng, Phòng tập miễn phí",Đà Nẵng,60
60,NTA Serviced Apartments,1357335.0,9.0,"Bữa sáng, Bãi đậu xe, Wifi miễn phí",Đà Nẵng,61
61,M Hotel Saigon,2768627.0,8.7,"Bãi đậu xe, Nhận phòng nhanh, Wifi miễn phí",Đà Nẵng,62
62,Orchids Saigon Hotel,1687399.0,8.9,"Wifi cao cấp miễn phí, Nhận phòng nhanh, Wifi miễn phí",Đà Nẵng,63
63,Van Ha Hotel,329012.0,7.7,"Bữa sáng, Nước uống chào đón, Bãi đậu xe",Đà Nẵng,64
64,Tan Hoang Long Hotel,631499.0,8.5,"Nước uống chào đón, Bãi đậu xe, Khử trùng phòng",Đà Nẵng,65
65,A&Em Art Hotel,1352696.0,7.8,"Bữa sáng, Wifi miễn phí",Đà Nẵng,66
66,La Palma - Garden Saigon Hotel Phu My Hung,648148.0,9.0,"Nhận phòng nhanh, Wifi miễn phí",Đà Nẵng,67
67,A&EM Corp - The Petit Hotel,598802.0,7.6,"Bữa sáng, Phòng tập miễn phí",Đà Nẵng,68
68,Nu Hotel,328131.0,7.8,"Bữa sáng, Bãi đậu xe, Wifi miễn phí",Đà Nẵng,69
69,The Bloom Pham Viet Chanh,899999.0,8.8,"Bữa sáng, Bãi đậu xe, Nhận phòng nhanh",Đà Nẵng,70
70,SKY STAR HOTEL,248664.0,8.5,"Bữa sáng, Phòng tập miễn phí",Đà Nẵng,71
71,Cozrum Homes Yoga Corner,389655.0,8.0,Wifi miễn phí,Đà Nẵng,72
72,Au Lac Charner Hotel,2246954.0,8.8,"Bữa sáng, Phòng tập miễn phí",Đà Nẵng,73
73,GIC Apartment and Hotel,356007.0,7.0,"Bãi đậu xe, Wifi miễn phí",Đà Nẵng,74
74,The Sophia Apartment - Thao Dien Central,725121.0,9.6,"Bãi đậu xe, Wifi miễn phí",Đà Nẵng,75
75,Cozrum Homes - Cozytel Residence,321763.0,8.3,"Nhận phòng nhanh, Wifi miễn phí",Đà Nẵng,76
76,M Village Đinh Công Tráng,6480.0,9.3,"Bữa sáng, Nước uống chào đón, Bãi đậu xe",Đà Nẵng,77
77,T78 Hotel,71876.0,8.0,"Bike rental, Wifi miễn phí",Đà Nẵng,78
78,Bat Dat Hotel,1100959.0,7.1,"Quà miễn phí, Nhận phòng trễ, Wifi cao cấp miễn phí",Đà Nẵng,79
79,Ahu Hotel & Apartment,287675.0,8.4,"Bữa sáng, Phòng tập miễn phí",Đà Nẵng,80
80,Grandma Lu Saigon Hotel Centre,330059.0,8.7,"Bữa sáng, Phòng tập miễn phí",Đà Nẵng,81
81,SILA Urban Living,1671497.0,8.8,"Bữa sáng, Phòng tập miễn phí",Đà Nẵng,82
82,Somerset Ho Chi Minh City Serviced Residence,30400.0,8.6,"Bữa sáng, Nước uống chào đón, Free mini bar",Đà Nẵng,83
83,A & Em Saigon Hotel,1617861.0,8.0,"Wifi miễn phí, Bãi đậu xe",Đà Nẵng,84
84,COCHIN SANG HOTEL,121895.0,8.8,"Bữa sáng, Nước uống chào đón, Nhận phòng nhanh",Đà Nẵng,85
85,Start House DORM Walk 5 Minutes to the Airport,1350.0,8.7,"Nước uống chào đón, Bãi đậu xe, Wifi miễn phí",Đà Nẵng,86
86,Yaya Hotel,1716.0,7.3,Wifi miễn phí,Đà Nẵng,87
87,Maison De Camille Boutique Hotel,1045921.0,8.7,"Bãi đậu xe, Wifi miễn phí",Đà Nẵng,88
88,Yaya Hotel,1716.0,7.3,"Bãi đậu xe, Nhận phòng nhanh, Wifi miễn phí",Đà Nẵng,89
89,Maison De Camille Boutique Hotel,1045921.0,8.7,Wifi miễn phí,Đà Nẵng,90
90,Lá Phú Nhuận Hotel Airport,615509.0,7.8,"Nước uống chào đón, Bãi đậu xe, Wifi miễn phí",Đà Nẵng,91
91,YÊN LIVING BÌNH THẠNH,595449.0,9.1,Bữa sáng,Đà Nẵng,92
92,Bonita Signature The View,583333.0,8.4,"Bữa sáng, Bãi đậu xe, Nhận phòng nhanh",Đà Nẵng,93
93,Secret Garden Hotel,393574.0,8.9,Wifi miễn phí,Đà Nẵng,94
94,Lucky Hotel Lien Phuong,231481.0,7.4,"Bãi đậu xe, Wifi miễn phí",Đà Nẵng,95
95,Cozrum Homes - Autumn House,443627.0,8.5,Wifi miễn phí,Đà Nẵng,96
96,Adora Hotel,970713.0,8.2,"Bữa sáng, Nhận phòng nhanh, Wifi miễn phí",Đà Nẵng,97
97,PARKROYAL Saigon,2175436.0,8.3,"Bữa sáng, Phòng tập miễn phí",Đà Nẵng,98
98,Saigon E Central Hotel,279167.0,8.3,"Bãi đậu xe, Nhận phòng nhanh, Wifi miễn phí",Đà Nẵng,99
99,Kim Long Hotel,496935.0,6.0,"Bữa sáng, Meeting Room, Bãi đậu xe",Đà Nẵng,100
100,Paradise Cu Chi Hotel,399999.0,8.2,"Bữa sáng, Bãi đậu xe, Car rental",Đà Nẵng,101
101,Cozrum Homes - Graceful Corner,399999.0,7.8,Bữa sáng,Đà Nẵng,102
102,The Alley Saigon Hotel,610588.0,8.0,"Bữa sáng, Wifi miễn phí",Đà Nẵng,103
103,Cozrum Homes - Kola Apartment,275926.0,7.8,"Bãi đậu xe, Wifi miễn phí",Đà Nẵng,104
104,Toi's Travel Home Central,882124.0,8.7,"Bãi đậu xe, Wifi miễn phí, Nhận phòng nhanh",Đà Nẵng,105
105,Nicecy Hotel - Bui Thi Xuan Street,343796.0,8.2,"Bữa sáng, Phòng tập miễn phí, Wifi miễn phí",Đà Nẵng,106
106,Nguyen Thanh Hotel,291005.0,6.9,"Bãi đậu xe, Wifi miễn phí",Đà Nẵng,107
107,Nhu Y Hotel,1578568.0,8.1,"Bãi đậu xe, Wifi miễn phí, Nhận phòng nhanh",Đà Nẵng,108
108,CHERRY BOUTIQUE HOTEL,171724.0,8.7,Bãi đậu xe,Đà Nẵng,109
109,Little Brick Saigon Hotel,335133.0,8.2,Bãi đậu xe,Đà Nẵng,110
110,Sen Hotel Saigon,324074.0,7.0,Pool,Đà Nẵng,111
111,CoCo Guesthouse,324074.0,7.4,"Bãi đậu xe, Wifi miễn phí",Đà Nẵng,112
112,CoCo Guesthouse,4875.0,7.4,"Bãi đậu xe, Nhận phòng nhanh, Wifi miễn phí",Đà Nẵng,113
113,CAN HO VINHOMES GRAND PARK QUAN 9,582468.0,9.3,"Bãi đậu xe, Wifi miễn phí",Đà Nẵng,114
114,Song Anh 1 Hotel,58231.0,8.9,"Bãi đậu xe, Nhận phòng nhanh, Wifi miễn phí",Đà Nẵng,115
115,Renaissance Riverside Hotel Saigon,40000.0,8.5,"Bữa sáng, Wifi miễn phí, Nước uống chào đón",Đà Nẵng,116
116,Lam Sơn Hotel,355064.0,7.7,"Bãi đậu xe, Wifi miễn phí",Đà Nẵng,117
117,UpTown Hotel,992137.0,8.2,"Bữa sáng, Nhận phòng nhanh, Wifi miễn phí",Đà Nẵng,118
118,An Phu Plaza Serviced Apartment,1634004.0,8.4,"Bãi đậu xe, Wifi miễn phí",Đà Nẵng,119
119,EROS HOTEL,3250.0,8.2,"Phòng tập miễn phí, Nước uống chào đón",Đà Nẵng,120
120,Infinity Edge Pool - Saigon Rivergate,759177.0,9.2,"Bữa sáng, Local Bữa sáng, Wifi miễn phí",Đà Nẵng,121
121,Na Nue Hotel,395259.0,7.9,"Bữa sáng, Nhận phòng nhanh, Wifi miễn phí",Đà Nẵng,122
122,GOLDA HOTEL,589425.0,8.1,"Bãi đậu xe, Wifi miễn phí",Đà Nẵng,123
123,H.A.O Boutique Hotel,583524.0,8.7,"Bữa sáng, Phòng tập miễn phí",Đà Nẵng,124
124,Sai Gon Amigo Hotel,351658.0,8.4,"Nhận phòng nhanh, Wifi miễn phí",Đà Nẵng,125
125,Somerset Chancellor Court Serviced Residence,25600.0,8.4,"Bãi đậu xe, Wifi miễn phí",Đà Nẵng,126
126,THE JOYS HOSTEL,125611.0,8.6,"Nước uống chào đón, Bãi đậu xe, Nhận phòng nhanh",Đà Nẵng,127
127,Ngan Ha Hotel,305556.0,7.5,Wifi miễn phí,Đà Nẵng,128
128,La Cigale Hotel,392649.0,8.5,"Bãi đậu xe, Wifi miễn phí",Đà Nẵng,129
129,Thanh Thu Hotel,793651.0,8.1,"Nhận phòng nhanh, Wifi miễn phí",Đà Nẵng,130
130,Yen House,324074.0,7.9,"Bữa sáng, Bãi đậu xe, Wifi cao cấp miễn phí",Đà Nẵng,131
131,Yen House,324074.0,7.9,"Bữa sáng, Nước uống chào đón, Wifi miễn phí",Đà Nẵng,132
132,Khách Sạn Lộc Phát,29925.0,8.8,"Bãi đậu xe, Wifi miễn phí",Đà Nẵng,133
133,"Millennium Spacious Aparts, Pool & Gym and CENTRAL Location",648148.0,7.9,Wifi miễn phí,Đà Nẵng,134
134,MoMo Residence,583333.0,9.0,"Bãi đậu xe, Wifi miễn phí",Đà Nẵng,135
135,Văn Giao Hotel,287439.0,6.9,"Bãi đậu xe, Limited housekeeping",Đà Nẵng,136
136,Le Parc Saigon Hotel,4184961.0,8.6,"Bữa sáng, Nước uống chào đón, Bãi đậu xe, Wifi miễn phí",Đà Nẵng,137
137,Montcalm Grand Hotel,678758.0,9.6,"Bữa sáng, Nước uống chào đón, Bãi đậu xe",Đà Nẵng,138
138,Yours Studio Tower,1021889.0,8.3,Wifi miễn phí,Đà Nẵng,139
139,Skycure Serviced Apartments,825137.0,9.9,"Bữa sáng, Wifi miễn phí",Đà Nẵng,140
140,Skymian Boutique Apartment,3150.0,9.1,"Bãi đậu xe, Nhận phòng nhanh, Wifi miễn phí",Đà Nẵng,141
141,Khach San Hoang Ha,1410625.0,7.6,"Bãi đậu xe, Nhận phòng nhanh, Wifi miễn phí",Đà Nẵng,142
142,SUNFLOWER CBQ HOTEL,434475.0,8.2,"Nhận phòng nhanh, Wifi miễn phí",Đà Nẵng,143
143,Bonita THT Hotel,363757.0,7.6,"Bữa sáng, Bãi đậu xe, Nhận phòng nhanh",Đà Nẵng,144
144,Ngoc Linh Hotel,149912.0,7.9,Wifi miễn phí,Đà Nẵng,145
145,Sao Mai 896 Hotel,881834.0,7.7,"Bữa sáng, Bãi đậu xe, Nhận phòng nhanh",Đà Nẵng,146
146,Bali Hotel,460758.0,7.9,"Bữa sáng, Wifi miễn phí, Nước uống chào đón, Bãi đậu xe",Đà Nẵng,147
147,Song Anh 2 Hotel,742778.0,7.8,"Bãi đậu xe, Wifi cao cấp miễn phí",Đà Nẵng,148
148,Simmi Apartment Phu My Hung,90351.0,8.2,"Bãi đậu xe, Wifi miễn phí",Đà Nẵng,149
149,Panorama Star Beach Nha Trang,1208138.0,8.9,"Wifi miễn phí, Phòng tập miễn phí",Đà Nẵng,150
150,Swandor Cam Ranh Resort-Ultra All Inclusive,452481.0,8.6,"Bữa sáng, Phòng tập miễn phí",Đà Nẵng,151
151,Panorama Nha Trang by HLG,475693.0,8.1,"Bữa sáng, Phòng tập miễn phí",Đà Nẵng,152
152,Virgo Hotel,494978.0,9.0,"Bữa sáng, Phòng tập miễn phí",Đà Nẵng,153
153,Asteria Comodo Nha Trang Hotel,762306.0,8.8,"Bữa sáng, Phòng tập miễn phí",Đà Nẵng,154
154,Regalia Nha Trang Hotel,353571.0,8.8,"Bữa sáng, Wifi miễn phí",Đà Nẵng,155
155,Muong Thanh Luxury Khanh Hoa,1053757.0,9.1,"Bữa sáng, Phòng tập miễn phí",Đà Nẵng,156
156,December Hotel,1372832.0,9.2,"Bữa sáng, Phòng tập miễn phí",Đà Nẵng,157
157,Holi Panorama Nha Trang,491889.0,8.3,"Bữa sáng, Nước uống chào đón, Wifi miễn phí",Đà Nẵng,158
158,Panorama Nha Trang Ocean View,555556.0,7.8,"Bữa sáng, Phòng tập miễn phí",Đà Nẵng,159
159,Havana Nha Trang Hotel,1892839.0,9.0,"Bữa sáng, Phòng tập miễn phí",Đà Nẵng,160
160,Diamond Bay Hotel,95771.0,8.7,"Bữa sáng, Phòng tập miễn phí",Đà Nẵng,161
161,Ana Mandara Cam Ranh,3003615.0,8.8,"Bữa sáng, Nước uống chào đón, Bãi đậu xe",Đà Nẵng,162
162,Vinpearl Luxury Nha Trang,4418455.0,9.3,Wifi miễn phí,Đà Nẵng,163
163,Anrizon Hotel Nha Trang,245157.0,8.7,"Bữa sáng, Phòng tập miễn phí",Đà Nẵng,164
164,Asia Paradise Hotel Nha Trang,387599.0,7.8,"Bữa sáng, Phòng tập miễn phí",Đà Nẵng,165
165,Crown Hotel Nha Trang,314154.0,8.5,"Bữa sáng, Bãi đậu xe, Nhận phòng nhanh",Đà Nẵng,166
166,Kymodo Panorama Apartment,55097.0,8.9,"Bữa sáng, Phòng tập miễn phí",Đà Nẵng,167
167,Grand Gosia Hotel,792314.0,9.0,"Bữa sáng, Phòng tập miễn phí",Đà Nẵng,168
168,Ventana Nha Trang Hotel,458727.0,9.0,"Bữa sáng, Phòng tập miễn phí",Đà Nẵng,169
169,Minh Tuyet Luxury Hotel,361905.0,9.2,Wifi miễn phí,Đà Nẵng,170
170,Handy Panorama Nha Trang Ocean View,548292.0,8.1,"Bữa sáng, Phòng tập miễn phí",Đà Nẵng,171
171,Panorama Luxury Sea View Apartment Nha Trang,976139.0,8.5,"Bữa sáng, Phòng tập miễn phí",Đà Nẵng,172
172,Annova Nha Trang Hotel,943522.0,8.8,"Bữa sáng, Phòng tập miễn phí",Đà Nẵng,173
