userID,rec_hotelID,Name,Price,hotel_rating,Benefits,Location
2,147,Bali Hotel,460758.0,7.9,"Bữa sáng, Wifi miễn phí, Nước uống chào đón, Bãi đậu xe",Đà Nẵng
2,37,Minh Tam Hotel & Spa 3/2,761905.0,8.0,"Bữa sáng, Nước uống chào đón, Bãi đậu xe, Wifi miễn phí",Đà Nẵng
2,187,Agnes Nha Trang Hotel,288687.0,8.6,"Bữa sáng, Nước uống chào đón, Bãi đậu xe, Wifi miễn phí",Đà Nẵng
2,17,22Land Hotel Saigon,1487419.0,9.2,"Bữa sáng, Bãi đậu xe, Wifi miễn phí",Đà Nẵng
2,137,Le Parc Saigon Hotel,4184961.0,8.6,"Bữa sáng, Nước uống chào đón, Bãi đậu xe, Wifi miễn phí",Đà Nẵng
2,69,Nu Hotel,328131.0,7.8,"Bữa sáng, Bãi đậu xe, Wifi miễn phí",Đà Nẵng
2,61,NTA Serviced Apartments,1357335.0,9.0,"Bữa sáng, Bãi đậu xe, Wifi miễn phí",Đà Nẵng
2,39,Leaf Signature Hotel - La Group,808857.0,8.5,"Bữa sáng, Bãi đậu xe, Nhận phòng nhanh",Đà Nẵng
2,113,CoCo Guesthouse,4875.0,7.4,"Bãi đậu xe, Nhận phòng nhanh, Wifi miễn phí",Đà Nẵng
2,66,A&Em Art Hotel,1352696.0,7.8,"Bữa sáng, Wifi miễn phí",Đà Nẵng
2,140,Skycure Serviced Apartments,825137.0,9.9,"Bữa sáng, Wifi miễn phí",Đà Nẵng
2,206,B475house,231481.0,9.1,"Bãi đậu xe, Wifi miễn phí",Đà Nẵng
2,155,Regalia Nha Trang Hotel,353571.0,8.8,"Bữa sáng, Wifi miễn phí",Đà Nẵng
2,246,OYO 952 Linh Dan Bungalow,187144.0,6.8,"Bãi đậu xe, Nhận phòng nhanh, Wifi miễn phí",Đà Nẵng
2,250,Bamboo Cottages,854323.0,8.8,"Bữa sáng, Bãi đậu xe, Nhận phòng nhanh",Đà Nẵng
2,144,Bonita THT Hotel,363757.0,7.6,"Bữa sáng, Bãi đậu xe, Nhận phòng nhanh",Đà Nẵng
2,99,Saigon E Central Hotel,279167.0,8.3,"Bãi đậu xe, Nhận phòng nhanh, Wifi miễn phí",Đà Nẵng
2,108,Nhu Y Hotel,1578568.0,8.1,"Bãi đậu xe, Wifi miễn phí, Nhận phòng nhanh",Đà Nẵng
2,105,Toi's Travel Home Central,882124.0,8.7,"Bãi đậu xe, Wifi miễn phí, Nhận phòng nhanh",Đà Nẵng
2,48,Cozrum Homes Ly Chinh Thang,420683.0,7.9,"Bãi đậu xe, Nhận phòng nhanh, Wifi miễn phí",Đà Nẵng
2,158,Holi Panorama Nha Trang,491889.0,8.3,"Bữa sáng, Nước uống chào đón, Wifi miễn phí",Đà Nẵng
2,62,M Hotel Saigon,2768627.0,8.7,"Bãi đậu xe, Nhận phòng nhanh, Wifi miễn phí",Đà Nẵng
2,253,HANZ VeniceRiver Power MIA Grand World,510963.0,8.1,"Bãi đậu xe, Wifi miễn phí, Nhận phòng nhanh",Đà Nẵng
2,34,VyDa Backpacker Hostel,104861.0,8.7,"Bãi đậu xe, Wifi miễn phí, Nhận phòng sớm",Đà Nẵng
2,232,Andochine Villas Resort & Spa – All Villas with Private Pool,3733905.0,9.0,"Bữa sáng, Nước uống chào đón, Bãi đậu xe",Đà Nẵng
2,211,Nice Swan Hotel Nha Trang,279533.0,7.5,"Bãi đậu xe, Nhận phòng nhanh, Wifi miễn phí",Đà Nẵng
2,56,SAZI HOTEL - BUI THI XUAN,984856.0,7.8,"Bữa sáng, Wifi miễn phí, Bao gồm bữa tối",Đà Nẵng
2,84,A & Em Saigon Hotel,1617861.0,8.0,"Wifi miễn phí, Bãi đậu xe",Đà Nẵng
2,199,Panorama Nha trang & Bữa sáng,648148.0,9.0,"Bãi đậu xe, Nhận phòng nhanh, Wifi miễn phí",Đà Nẵng
2,196,Sun Kiss Hotel,357192.0,9.0,"Bãi đậu xe, Nhận phòng nhanh, Wifi miễn phí",Đà Nẵng
2,234,Muong Thanh Luxury Phu Quoc Hotel,1106654.0,8.0,"Bữa sáng, Nước uống chào đón, Bãi đậu xe",Đà Nẵng
2,162,Ana Mandara Cam Ranh,3003615.0,8.8,"Bữa sáng, Nước uống chào đón, Bãi đậu xe",Đà Nẵng
2,231,Valentina Resort & Spa Phu Quoc,648246.0,9.0,"Bữa sáng, Nước uống chào đón, Bãi đậu xe",Đà Nẵng
2,252,Hoàng Hôn Beach House Phú Quốc,497328.0,7.9,"Wifi miễn phí, Bãi đậu xe, Nước uống chào đón",Đà Nẵng
2,212,Iridescent Clouds Hotel,455587.0,6.7,"Wifi miễn phí, Bãi đậu xe",Đà Nẵng
2,15,ROSA ZEN Hotel Spa,483667.0,8.3,"Bãi đậu xe, Nhận phòng nhanh, Wifi miễn phí",Đà Nẵng
2,191,Nha Trang Pearl Hotel,151515.0,7.7,"Bãi đậu xe, Nhận phòng nhanh, Wifi miễn phí",Đà Nẵng
2,248,Phu My Hung Bungalow,342831.0,9.1,"Bãi đậu xe, Wifi miễn phí",Đà Nẵng
2,33,CityHouse - City Oasis,891915.0,8.2,"Bãi đậu xe, Wifi miễn phí",Đà Nẵng
2,227,Luxury villa trong Whyndham garden Cam Ranh,4564647.0,10.0,"Bãi đậu xe, Nhận phòng nhanh, Wifi miễn phí",Đà Nẵng
2,42,The Hammock Hotel Fine Arts Museum,1069036.0,9.1,"Bữa sáng, Bãi đậu xe, Nhận phòng nhanh",Đà Nẵng
2,9,Ramana Saigon Hotel,1023154.0,8.0,"Bữa sáng, Wifi miễn phí",Đà Nẵng
2,91,Lá Phú Nhuận Hotel Airport,615509.0,7.8,"Nước uống chào đón, Bãi đậu xe, Wifi miễn phí",Đà Nẵng
2,188,Pearl Nha Trang Beach Apartment,595238.0,8.6,"Bữa sáng, Bãi đậu xe, Nhận phòng nhanh",Đà Nẵng
2,138,Montcalm Grand Hotel,678758.0,9.6,"Bữa sáng, Nước uống chào đón, Bãi đậu xe",Đà Nẵng
2,146,Sao Mai 896 Hotel,881834.0,7.7,"Bữa sáng, Bãi đậu xe, Nhận phòng nhanh",Đà Nẵng
2,77,M Village Đinh Công Tráng,6480.0,9.3,"Bữa sáng, Nước uống chào đón, Bãi đậu xe",Đà Nẵng
